,shot,time,mods,nl_04,bt,ip,p_rf,ssep,zave,q95,numin,xmin,Lne,LTe,a,R
83,1120607010.0,0.9276,d,5.80011647096e+19,-5.46285629272,-0.804038,0.000149594794493,-2.06700158119,3.43737077984,4.40848064423,0.30401931087,0.40957962139,0.536916292104,0.570993506948,0.218448521197,0.680132416111
84,1120605024.0,1.1453,d,6.87636111327e+19,-5.44333839417,-0.5146515625,0.000150689986185,-1.15535521507,2.11465322929,6.88486194611,0.137802523988,0.249447834264,0.00966617144906,0.790300611829,0.224605084208,0.687182085921
85,1120605023.0,1.0909,d,7.01178004398e+19,-5.44431447983,-0.544084875,0.000150140011101,-1.15705823898,2.21487451691,6.27391529083,0.533675998061,0.372526031565,0.440604610679,0.55470016631,0.219255527587,0.68538923785
86,1120222027.0,0.7983,d,5.86443790118e+19,-5.44431447983,-0.813073,9.9387310911e-05,1.28137850761,2.60421806574,4.50987148285,0.3538636364,0.394818997863,-1.48013994064,0.665379208142,0.216812463803,0.676970797802
87,1120222027.0,1.3528,d,7.42468184459e+19,-5.4374833107,-0.800533,9.93894427666e-05,1.41128885746,3.57921850204,4.42761230469,0.696396106418,0.387242639754,6.48464472294,0.620071270111,0.214688796332,0.678260735381
88,1120222025.0,1.0058,u,5.48151582443e+19,-5.43650722504,-0.80867675,0.000100157318229,1.25607120991,3.64565809965,4.55775690079,0.369007866066,0.395465229269,-3.17248244405,0.6636502632,0.21666579118,0.67748679644
89,1120222025.0,1.295,d,5.34634714256e+19,-5.43455600739,-0.801939,0.000100073986687,1.31158328056,3.91595685482,4.53519964218,0.363766576009,0.379120511123,-0.500732690087,0.640679706,0.216005503804,0.677406191995
90,1120222025.0,1.4708,up?,5.81899816424e+19,-5.42772483826,-0.8067804375,0.000100134690001,1.34250593185,3.38191642284,4.48724937439,0.394290319398,0.396184157001,-0.460201401927,0.632017554883,0.215270275779,0.678124800948
91,1120222021.0,0.9687,u,5.0587395298e+19,-5.44821834564,-0.8090144375,9.97768511297e-05,1.30052280426,3.83672617197,4.50538635254,0.35043695107,0.392624623947,20.5455280262,0.684176365518,0.216426798604,0.677285599575
92,1120216031.0,1.0768,d,5.26740572613e+19,-5.51457691193,-0.80445975,0.0,-40.0,3.65437434196,4.26173448563,0.40572399994,0.388200512891,10.46416723,0.623895864909,0.219635576477,0.679531065827
93,1120216030.0,0.9083,d,4.43537537067e+19,-5.51555252075,-0.8097841875,0.0,-2.17344546318,3.29924492598,4.30366182327,0.251036138531,0.38450466129,-1.93877543322,0.646588071138,0.219649696358,0.679240187453
94,1120216028.0,0.8003,dw,2.00698607308e+19,-5.50872135162,-0.55831875,0.0,-1.78853237629,8.48193579197,5.77744817734,0.218308835223,0.325284560343,-1.10103659727,0.553574365902,0.219905032307,0.679376540355
95,1120216027.0,1.1085,d,2.0382588226e+19,-5.50676965714,-0.5542335,0.0,-40.0,11.0339838505,5.76224327087,0.17996743328,0.309683552423,0.303815437632,0.452233455444,0.220949186349,0.681323950129
96,1120216020.0,0.8289,d,3.72944932322e+19,-5.5126247406,-0.5504921875,0.0,-1.63989317417,5.24903561115,5.81130123138,0.420839282453,0.358084543572,0.280273024448,0.479751455668,0.222767890134,0.681837263176
97,1120216017.0,1.3119,d,8.39595875063e+19,-5.51164865494,-1.08236325,-5.09337878611e-05,-1.93107295036,2.73876924992,3.29866313934,0.339950919067,0.367029112912,-11.305245853,0.750793797499,0.221061555248,0.678894170051
98,1120216013.0,0.5175,dp,6.13143099034e+19,-5.5077457428,-1.07390425,-5.09695928486e-05,-2.26739454269,2.51918399334,3.39421892166,0.193565869988,0.354378534696,0.29228698205,0.882694185032,0.221665339869,0.677529111142
99,1120216012.0,0.5492,dp,6.25476364943e+19,-5.51164865494,-1.092851375,-5.09695892106e-05,-2.19956350327,2.48891667366,3.36575388908,0.181511971837,0.351628482043,0.306749971279,1.09731516875,0.220652019748,0.677605203814
