shot,reversals,low_confidence,ar_signal,tmax,nl_04,nl_04_r,bt,bt_r,ip,ip_r,p_rf,p_rf_r,p_rf_t,ssep,ssep_r,vel,vel_r,lbo,cryopump
1120913030,,H-mode,253.016265869,1.5,8.71837998016E+019,2.88121352977E+019,4.61678648,0.0107336044,1.0007913438,0.0372455375,2.8426384926,1.339030385,0.798600018,-2.1953964233,0.4107388854,1.5550646186,1298.96564331,3,0
1120913029,,H-mode,243.028778076,1.5,9.62252510426E+019,3.34242835508E+019,4.6177625656,0.0136623383,0.997665,0.0372599156,2.9949588776,1.4638109326,0.7985999584,-2.2031280994,0.5117354989,-9.9062662125,899.351337433,3,0
1120913028,,H-mode,277.730560303,1.5,7.88372091231E+019,2.20394187684E+019,4.8070793152,0.0136618614,0.9081805,0.031312125,3.0239187479,1.4492515743,0.7986999154,-2.1096806526,0.458473742,-0.301828146,1036.49508095,3,0
1120913026,,H-mode,247.901351929,1.5,8.45225726441E+019,3.41344002769E+019,4.8090305328,0.0126867294,1.0030790625,0.0369426625,2.993475914,1.5568357468,0.7985999584,-2.1975123882,0.4778413773,793.182983398,1313.19120407,3,0
1120913025,,H-mode,185.821075439,1.5,7.14173110337E+019,1.87108188391E+019,4.9075922966,0.0117106438,1.0060960625,0.0335247906,3.3698148727,1.8637807846,0.7985999584,-2.1590263844,0.4124230146,797.382446289,915.415028381,3,0
1120913023,,H-mode,251.607910156,1.5,8.69162094577E+019,2.48628256502E+019,4.8997855187,0.0126862526,1.002317875,0.037249625,2.9741449356,1.6180033803,0.7486000657,-2.1518542767,0.4219968319,13.6130189896,1437.72614326,3,0
1120913022,,H-mode,248.237625122,1.5,8.42520180168E+019,1.7939995877E+019,6.0044574738,0.0136623383,1.005894375,0.027241375,3.0928242207,1.6539546847,0.7486000061,-2.158018589,0.3707193732,14.5732307434,880.947208405,3,0
1120913021,,H-mode,274.623977661,1.5,7.78015439365E+019,1.96881391009E+019,6.0015301704,0.0136618614,1.001500125,0.0275546,2.5749926567,1.3042544961,0.5985999703,-2.1869564056,0.3732607365,22.3369121552,877.858100319,3,0
1120913020,,H-mode,274.905181885,1.5,8.23977796175E+019,2.24995116081E+019,6.1069226265,0.0126862526,1.1993141875,0.03977525,3.4942512512,2.0690928221,0.5986000299,-2.3343436718,0.4015806913,813.498046875,875.975541687,3,0
1120913018,,H-mode,282.109664917,1.5,9.14100542179E+019,2.12347765879E+019,6.104970932,0.0126857758,1.201506125,0.033201375,3.0353760719,1.6218358278,0.7485999465,-2.3784742355,37.9368211031,12.2558178902,1549.62832241,3,0
1120913017,,H-mode,369.125854492,1.5,9.05044392667E+019,4.44037968789E+019,5.8356337547,0.0146374702,1.106686875,0.034136825,3.3971002102,1.9195308924,0.7486000061,-2.2192642689,0.3847358823,-25.1907730103,890.268630981,3,0
1120913016,,H-mode,296.611724854,1.5,8.68400089039E+019,1.8871439236E+019,5.8317308426,0.0126857758,1.10416125,0.0328760813,3.012081027,1.6073571622,0.7486999631,-2.2891950607,0.3289128542,4.7094826698,916.466580963,3,0
1120913015,,H-mode,292.993606567,1.5,8.08119100163E+019,2.11638204846E+019,5.8336825371,0.0136623383,1.007414625,0.027879875,3.068464756,1.6352276087,0.7485999465,-2.2200562954,0.3147674799,7.6753225327,884.43661747,3,0
1120913014,,H-mode,956.406616211,1.5,8.1343207229E+019,3.22375672369E+019,5.8366093636,0.0097579956,1.007744125,0.028831625,3.0502784252,1.6253680348,0.7486000061,-2.2519869804,0.3279517889,-3.3765432835,880.525642395,3,0
1120913012,0.5678d,,3446.40063477,1.5,5.87629349526E+019,7.12936005824E+018,5.3662457466,0.0097594261,0.8965261875,0.016291625,0,0,0,-1.643425107,38.7564793825,-10.496088028,24.1470432281,0,0
1120913011,,H-mode,306.750991821,1.5,9.66191400881E+019,3.54249918523E+019,5.3721013069,0.0097589493,1.0026927188,0.0306920625,3.071410656,1.6825658321,0.7486000061,-2.2448804379,0.372351408,-7.2637615204,869.838986969,3,0
1120913010,,H-mode,1187.40869141,1.5,9.83364804937E+019,6.24161606322E+019,5.3711256981,0.0097584724,1.0017440625,0.0272515625,3.1109263897,1.6968017101,0.7486000061,-2.2845137119,0.4458332062,-22.6004943848,874.352711487,3,0
1120830032,,ddrift,183.049987793,1.5,1.10935942566E+020,6.66040724393E+019,4.379652977,0.0146379471,0.9899606875,0.0237865,2.9945552349,2.40961622,0.8984999657,-1.655436635,0.4526154995,-22.5809764862,50.5448149204,0,0
1120830030,,H-mode,54.5074081421,1.2934999466,1.20469522017E+020,8.72302277796E+019,4.3767251968,0.0165901184,0.9774309375,0.0194353125,0,0,0,-1.7140936256,0.2750715494,11.1517629623,41.7195422173,0,0
1120830029,,H-mode,364.86958313,1.5,9.83387454876E+019,4.8535338704E+019,4.3816051483,0.0136618614,0.9968498125,0.0331684375,2.9112603664,2.039905107,0.8985999823,-1.6653962135,0.4608906507,-40.8837680817,53.2608977437,0,0
1120830028,,H-mode,384.618972778,1.5,8.94146913022E+019,3.24269136945E+019,4.379652977,0.0146374702,1.0015469375,0.037575,2.7852289677,0.336642921,0.7984999418,-1.6303863525,0.4967808127,-33.0144424438,50.9650114968,0,0
1120830025,,H-mode?,248.682739258,1.5,8.66000426901E+019,3.18141468483E+019,6.1166810989,0.0146374702,1.004257375,0.0263347281,2.9880375862,2.0958752513,0.798600018,-1.5827665329,0.4517589808,-13.8296337128,50.057758522,3,0
